OID_,vh_raw,vv_raw,roughness_p5,roughness_p25,roughness_p75,roughness_p95,Point_ID,S1_pixel_ID,VV_GLCM_cor,VV_GLCM_mean,VV_GLCM_var,VH_GLCM_mean,VH_GLCM_cor,VH_GLCM_var
73,0.0884223,0.4427520,0.0018373,0.0036704,0.0078377,0.0135277,73,269,1.0000000,62.0000000,1922.0000000,61.2805557,0.9955650,1885.8750000
74,0.0464207,0.2030259,0.0012695,0.0025298,0.0058899,0.0100728,74,132,1.0000000,62.0000000,1922.0000000,60.7777786,0.9932799,1860.1055908
75,0.0379021,0.2261887,0.0012680,0.0025874,0.0063266,0.0121517,75,358,1.0000000,62.0000000,1922.0000000,61.0444450,0.9953465,1871.9721680
76,0.0488050,0.1845468,0.0011723,0.0023829,0.0061243,0.0121969,76,1063,1.0000000,62.0000000,1922.0000000,61.3750000,0.9976296,1887.8416748
77,0.0830742,0.1999826,0.0014477,0.0030511,0.0077556,0.0157731,77,471,1.0000000,62.0000000,1922.0000000,61.4444427,0.9978356,1891.7277832
78,0.0265457,0.1313592,0.0008839,0.0016621,0.0038808,0.0067634,78,994,1.0000000,62.0000000,1922.0000000,60.2000008,0.9906645,1830.5389404
79,0.0168615,0.1991575,0.0009701,0.0018521,0.0045080,0.0082032,79,829,1.0000000,62.0000000,1922.0000000,60.5722237,0.9934345,1847.1888428
80,0.0265911,0.1943804,0.0010789,0.0021148,0.0051748,0.0098440,80,250,1.0000000,62.0000000,1922.0000000,61.0666656,0.9963571,1871.2556152
81,0.0658772,0.1870665,0.0011552,0.0023813,0.0057274,0.0106104,81,1224,1.0000000,62.0000000,1922.0000000,61.1694450,0.9965979,1877.1250000
82,0.0159205,0.1833915,0.0008280,0.0015373,0.0035884,0.0067053,82,1374,1.0000000,62.0000000,1922.0000000,59.4555550,0.9867528,1792.4111328
83,0.0134157,0.2278962,0.0008189,0.0015513,0.0036740,0.0062225,83,75,1.0000000,62.0000000,1922.0000000,59.9500008,0.9903859,1815.0500488
84,0.0165238,0.1467706,0.0008449,0.0016162,0.0039008,0.0070413,84,1123,1.0000000,62.0000000,1922.0000000,60.5499992,0.9941854,1844.0389404
85,0.0280368,0.1062486,0.0008456,0.0016479,0.0042395,0.0080220,85,1406,1.0000000,62.0000000,1922.0000000,60.6972237,0.9945580,1852.3750000
86,0.0128198,0.1542449,0.0007813,0.0014851,0.0034138,0.0061287,86,1071,1.0000000,62.0000000,1922.0000000,58.9166679,0.9847705,1763.0222168
87,0.0143681,0.1956394,0.0007752,0.0014496,0.0035563,0.0067069,87,1286,1.0000000,62.0000000,1922.0000000,59.5388870,0.9891408,1792.1278076
88,0.0116400,0.1217887,0.0008168,0.0014982,0.0034673,0.0060166,88,649,1.0000000,62.0000000,1922.0000000,60.2000008,0.9931703,1824.5333252
89,0.0111008,0.0527436,0.0008408,0.0016521,0.0045334,0.0097040,89,371,1.0000000,62.0000000,1922.0000000,60.3722229,0.9935793,1834.3610840
90,0.0134228,0.4189736,0.0008603,0.0016777,0.0042599,0.0091071,90,49,1.0000000,62.0000000,1922.0000000,59.4611130,0.9860349,1798.1278076
91,0.0132111,0.1527496,0.0008457,0.0015722,0.0036676,0.0070137,91,543,1.0000000,62.0000000,1922.0000000,59.2916679,0.9860446,1787.6361084
92,0.0905497,0.3183894,0.0010005,0.0020677,0.0058044,0.0119045,92,617,1.0000000,62.0000000,1922.0000000,61.2611122,0.9966566,1882.6611328
93,0.0724287,0.3293232,0.0010881,0.0022870,0.0062487,0.0132419,93,931,1.0000000,62.0000000,1922.0000000,61.3027763,0.9966744,1885.1916504
94,0.0408408,0.2961407,0.0008685,0.0018216,0.0056873,0.0123646,94,1153,1.0000000,62.0000000,1922.0000000,60.8444443,0.9946955,1861.1221924
95,0.0392348,0.3968706,0.0009230,0.0018891,0.0051044,0.0097274,95,986,1.0000000,62.0000000,1922.0000000,60.9916649,0.9953608,1868.7416992
96,0.0098092,0.1923221,0.0011606,0.0024855,0.0067212,0.0139557,96,129,1.0000000,62.0000000,1922.0000000,60.5444450,0.9937295,1844.6278076
97,0.0205753,0.3047938,0.0011335,0.0024771,0.0065922,0.0112388,97,658,1.0000000,62.0000000,1922.0000000,60.7555542,0.9945637,1855.8277588
98,0.0252902,0.1414747,0.0010481,0.0021844,0.0070560,0.0159441,98,761,1.0000000,62.0000000,1922.0000000,60.4583321,0.9930476,1842.2805176
99,0.0291984,0.1694515,0.0009153,0.0018090,0.0049181,0.0115546,99,590,1.0000000,62.0000000,1922.0000000,61.2888870,0.9980575,1881.9277344
100,0.0285286,0.2186177,0.0009595,0.0018743,0.0047973,0.0097259,100,1211,1.0000000,62.0000000,1922.0000000,61.3499985,0.9976528,1886.4166260
101,0.0475881,0.4513774,0.0010217,0.0021131,0.0064008,0.0134202,101,1032,1.0000000,62.0000000,1922.0000000,61.0999985,0.9955022,1874.9888916
102,0.0542732,0.3952137,0.0013058,0.0031481,0.0083406,0.0166679,102,710,1.0000000,62.0000000,1922.0000000,61.2722206,0.9966077,1883.3444824
103,0.0274358,0.2033069,0.0010879,0.0021889,0.0059568,0.0111221,103,354,1.0000000,62.0000000,1922.0000000,61.4555550,0.9979830,1892.2944336
104,0.0307762,0.2913706,0.0011314,0.0023653,0.0066797,0.0123369,104,815,1.0000000,62.0000000,1922.0000000,60.9333344,0.9948907,1865.9000244
105,0.0314639,0.2839887,0.0010030,0.0020069,0.0070607,0.0164153,105,688,1.0000000,62.0000000,1922.0000000,61.1972237,0.9962413,1879.3693848
106,0.0305294,0.1920878,0.0013951,0.0031735,0.0087039,0.0163471,106,1521,1.0000000,62.0000000,1922.0000000,61.4249992,0.9975426,1891.0749512
107,0.0272269,0.1764085,0.0010540,0.0021178,0.0059150,0.0113808,107,1156,1.0000000,62.0000000,1922.0000000,61.4888878,0.9980028,1894.3166504
108,0.0165482,0.0750359,0.0007789,0.0014198,0.0030447,0.0050652,108,840,1.0000000,62.0000000,1922.0000000,58.9055557,0.9831145,1769.1110840
