OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
825,OBJEC_878,918,8834,10886,55394,21871,7536,3481,976,234,73,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
826,OBJEC_879,1631,13620,15680,58882,14840,3749,1390,321,59,25,10,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827,OBJEC_880,1215,10506,13282,58895,19288,5097,1570,283,67,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828,OBJEC_881,955,8018,10286,51712,21778,8785,5205,1950,825,385,144,79,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
829,OBJEC_882,1513,12924,15271,58156,15647,4398,1605,509,127,50,15,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
830,OBJEC_883,677,6813,8939,52877,25406,9502,4202,1224,340,141,50,29,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
831,OBJEC_884,741,7315,9340,51068,24851,9922,4538,1408,459,162,55,21,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,OBJEC_885,965,8273,9902,47644,20148,8785,5583,2942,1960,1432,913,648,1029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
833,OBJEC_886,747,6674,7856,32806,11871,7469,6715,5298,4603,3974,3151,2885,13268,2217,512,105,48,25,0,0,0,0,0,0,0,0,0,0
834,OBJEC_887,1147,10161,12202,52153,18250,7121,4161,2109,969,548,291,196,578,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
835,OBJEC_889,1153,11119,14360,62423,16751,3323,684,70,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
836,OBJEC_890,1238,10395,12332,51812,18230,7196,4079,2024,957,538,325,238,528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
837,OBJEC_891,1575,14071,16538,60887,13543,2705,734,156,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
838,OBJEC_892,755,7503,9832,56101,22989,7803,3814,1113,215,75,15,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
839,OBJEC_893,1184,10346,12644,56261,19530,6085,2520,736,216,94,80,75,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,OBJEC_894,1003,9014,11511,54465,19880,7255,3769,1526,768,442,233,141,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,OBJEC_895,557,4800,6073,35291,20718,12803,9618,5998,4068,3063,1925,1408,3834,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0
842,OBJEC_896,155,1643,2329,18007,16297,12859,12274,9276,7242,5699,4333,3659,13672,2024,538,107,39,18,1,5,8,27,12,0,0,0,0,0
843,OBJEC_897,1050,9604,11696,53603,19650,7277,3950,1745,739,356,178,131,233,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
844,OBJEC_898,1024,9029,10879,52604,20803,7864,4625,2007,692,373,143,89,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,OBJEC_899,602,6054,8668,51773,26907,10356,4011,1135,262,78,33,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
846,OBJEC_900,1325,12407,14391,54031,15135,5277,3133,1752,1004,646,326,215,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
847,OBJEC_902,614,4954,6449,38475,23767,13762,9530,5247,2858,1932,1038,609,989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
848,OBJEC_903,1171,10165,13165,59758,17786,4963,1795,680,248,116,28,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
849,OBJEC_904,949,7995,9892,48343,21492,9305,5235,2469,1451,855,491,416,995,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
850,OBJEC_905,424,3648,4490,25624,17292,12841,10697,7622,5801,4452,3173,2568,9716,1236,256,44,8,0,0,0,0,0,0,0,0,0,0,0
