S1_pixel_ID,date,moran,z,p
1203,302,0.690346,38.548379,0
1204,302,0.499034,27.901496,0
1205,302,0.427625,24.015394,0
1206,302,0.827494,46.352883,0
1207,302,0.607176,33.998327,0
1209,302,0.667584,37.315302,0
1210,302,0.354924,19.827611,0
1211,302,0.429924,24.002307,0
1212,302,0.574691,32.098509,0
1214,302,0.657244,36.836196,0
1215,302,0.309266,17.273621,0
1216,302,0.416134,23.249334,0
1217,302,0.645593,36.165743,0
1218,302,0.449839,25.120051,0
1219,302,0.689012,38.506354,0
1220,302,0.571498,31.916087,0
1221,302,0.425585,23.764074,0
1222,302,0.519149,28.994675,0
1223,302,0.661432,37.040765,0
1224,302,0.705733,39.906568,0
1225,302,0.79959,44.693768,0
1226,302,0.629947,35.319816,0
1227,302,0.738507,41.381801,0
1228,302,0.760094,42.438626,0
1229,302,0.413787,23.121455,0
1230,302,0.743156,41.666109,0
1231,302,0.365477,20.438077,0
1232,302,0.424604,23.708063,0
1233,302,0.355565,19.852109,0
1234,302,0.606077,34.36862,0
1235,302,0.659359,36.805218,0
1236,302,0.443308,24.759555,0
1237,302,0.746068,41.848116,0
1238,302,0.572579,31.982779,0
1239,302,0.48409,27.043508,0
1240,302,0.52244,29.179081,0
1241,302,0.426502,23.819976,0
1242,302,0.448503,25.045877,0
1243,302,0.445519,24.871923,0
1244,302,0.532039,29.702594,0
1245,302,0.774365,43.406199,0
1246,302,0.565795,31.646089,0
1247,302,0.468898,26.181349,0
1248,302,0.678169,37.932539,0
1249,302,0.503376,28.101605,0
1250,302,0.603606,33.844138,0
1251,302,0.438482,24.485783,0
1252,302,0.638641,35.889728,0
1253,302,0.713552,40.094742,0
1254,302,0.675934,37.962763,0
1255,302,0.51448,28.746266,0
1256,302,0.535712,29.906322,0
1257,302,0.382949,21.400814,0
1258,302,0.416179,23.237487,0
1259,302,0.43347,24.204721,0
1260,302,0.506426,28.273345,0
1261,302,0.675519,37.775377,0
1262,302,0.643289,37.089079,0
