,RMSE,MAE,R2
170,0.04548636649379299,0.034206604107058315,0.47513767761257325
171,0.0448865942089998,0.03446897148031774,0.4318808977747678
172,0.044904506592092296,0.03436940621872844,0.44426684895901974
173,0.045674838830823954,0.03383108136672661,0.41983397845586135
174,0.04372150120513694,0.03302645040574433,0.46792654322135346
175,0.044910128788729915,0.03390835245254624,0.4729023809592936
176,0.045401859951172074,0.0343152078969391,0.454082514081388
177,0.045257202551678956,0.03428114744485444,0.4650199382208731
178,0.04633129712725879,0.03495639534456497,0.44417467516523035
179,0.04531737189971734,0.03498611763078327,0.4657716951014712
180,0.04549230922888462,0.033845989606898406,0.47024356197484624
181,0.04576627686751671,0.03494528605359376,0.4164239642194662
182,0.0462272414256023,0.03473993856361692,0.44868010237898365
183,0.04399163411878139,0.033960718085290865,0.4714990541821366
184,0.04579817656499331,0.03449945978844416,0.44516696061184285
185,0.04663608666694075,0.03449651912468192,0.4254689330493814
186,0.04520304979167378,0.034035760870286716,0.4407525532453578
187,0.043959416135189416,0.033565962597240144,0.4669223795943853
188,0.04416636898024242,0.03416747095197292,0.45020443898807183
189,0.04402875229357971,0.03364747132956342,0.46873816762743825
190,0.04455227573079953,0.03349834322665561,0.4279884753516263
191,0.044399579877548064,0.03338349079587494,0.450508204129074
192,0.04691601746265669,0.03520400807737741,0.4317313604101129
193,0.044518167953812554,0.03374337737229002,0.4546674598231679
194,0.04478026012699149,0.034013053160186484,0.4620891236434965
195,0.04534677151339082,0.033913552963392705,0.47363336357582386
196,0.04566669477975647,0.034758620481772716,0.4884941242451206
197,0.045405064948303465,0.034661720156206055,0.4786601389571752
198,0.0472118294078036,0.035504116817696996,0.4443659433503549
199,0.044243219416307884,0.03359793544271746,0.4445864405670155
200,0.04502159401964227,0.03432799563142727,0.45424227567453757
201,0.045919477971282034,0.034377986055126375,0.4496882253922882
202,0.04579841018047526,0.034748495623237056,0.43016827448458245
203,0.046063789891852905,0.03468005581759884,0.4461510490432505
204,0.04417021667353501,0.033609195614456244,0.44699290828229077
205,0.046103560282157854,0.034473546901226365,0.4387310923237918
206,0.046044244025861214,0.034582657174215374,0.44684169566420273
207,0.04511273256260915,0.034150977098588116,0.45463978371437685
208,0.04357209879453551,0.03340596421731217,0.48339684855867154
209,0.04647317757947815,0.03507604952175944,0.3960264431191263
