OID_,LABEL,CLASS_1,CLASS_2,CLASS_3,CLASS_4,CLASS_5,CLASS_6,CLASS_7,CLASS_8,CLASS_9,CLASS_10,CLASS_11,CLASS_12,CLASS_13,CLASS_14,CLASS_15,CLASS_16,CLASS_17,CLASS_18,CLASS_19,CLASS_20,CLASS_21,CLASS_22,CLASS_23,CLASS_24,CLASS_25,CLASS_26,CLASS_27,CLASS_28
242,OBJEC_271,861,5224,6266,40562,28768,15369,7430,3229,1523,808,414,205,223,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243,OBJEC_272,308,2018,2745,22345,22889,17507,13412,9064,6300,4506,3035,2101,4810,178,3,1,0,0,0,0,0,0,0,0,0,0,0,0
244,OBJEC_273,654,4587,5442,36583,27017,15978,9213,4335,2562,1639,1015,612,1301,168,68,33,9,5,1,0,0,0,0,0,0,0,0,0
245,OBJEC_274,322,1502,1834,16578,17715,15618,12814,10031,7841,6035,4698,3373,10590,1475,464,193,68,45,17,8,1,0,0,0,0,0,0,0
246,OBJEC_275,927,5578,6246,38717,28198,16304,7960,3722,1855,907,441,197,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
247,OBJEC_276,36,328,641,8340,13820,14981,14391,12549,10535,8524,6633,4948,14344,1187,187,58,32,9,11,2,0,0,0,0,0,0,0,0
248,OBJEC_277,401,2914,3816,28833,25381,17108,10605,6187,4389,3051,2061,1549,4122,475,142,74,52,31,12,11,4,4,0,0,0,0,0,0
249,OBJEC_278,403,3072,4187,29873,25863,17676,10713,6329,4195,2704,1711,1066,2422,224,56,24,17,24,19,26,22,87,52,86,38,0,0,0
250,OBJEC_279,869,5413,5785,30779,17474,10842,7439,5396,4311,3480,2711,2350,10005,2672,957,440,169,67,32,11,9,11,0,0,0,0,0,0
251,OBJEC_280,2118,10214,9368,45394,25078,11590,4685,1738,818,351,136,37,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
252,OBJEC_281,123,1053,1518,16350,20958,19392,15205,11215,8057,5579,3849,2456,5108,281,51,14,5,7,1,0,0,0,0,0,0,0,0,0
253,OBJEC_284,220,1794,2592,22347,23531,18965,13873,9053,6151,3936,2726,1713,3704,236,28,8,6,4,2,0,0,0,0,0,0,0,0,0
254,OBJEC_285,678,4679,5582,36021,25436,14663,8891,5030,3278,2200,1313,914,2009,169,18,8,0,0,0,0,0,0,0,0,0,0,0,0
255,OBJEC_287,241,2001,2858,24868,24553,18922,13232,8353,5371,3415,2266,1527,3083,190,9,0,0,0,0,0,0,0,0,0,0,0,0,0
256,OBJEC_288,177,1275,2064,19667,22447,19501,14465,9672,6723,4497,3128,2131,4732,340,56,14,0,0,0,0,0,0,0,0,0,0,0,0
257,OBJEC_289,45,454,702,7248,10702,11694,11353,10066,8827,7460,6316,5420,23691,4457,1500,534,264,155,105,68,49,105,7,0,0,0,0,0
258,OBJEC_291,910,5336,5401,33906,25473,16663,10855,5221,3067,1850,1035,629,868,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,OBJEC_293,1741,8523,7802,35826,19957,12517,8795,5684,3587,2244,1473,937,1926,150,49,9,2,0,0,0,0,0,0,0,0,0,0,0
260,OBJEC_294,667,4657,5641,37989,27549,15566,8494,4316,2447,1380,827,459,870,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0
