,run_no,predict,valid
1909,8,rough,rough
1910,8,smooth,water
1911,8,smooth,smooth
1912,8,mixed,mixed
1913,8,mixed,smooth
1914,8,smooth,mixed
1915,8,rough,mixed
1916,8,mixed,mixed
1917,8,smooth,rough
1918,8,smooth,mixed
1919,8,rough,rough
1920,8,smooth,smooth
1921,8,smooth,smooth
1922,8,smooth,mixed
1923,8,smooth,mixed
1924,8,mixed,mixed
1925,8,rough,mixed
1926,8,mixed,mixed
1927,8,mixed,mixed
1928,8,smooth,smooth
1929,8,mixed,mixed
1930,8,smooth,water
1931,8,rough,mixed
1932,8,mixed,mixed
1933,8,mixed,smooth
1934,8,smooth,rough
1935,8,rough,rough
1936,8,smooth,mixed
1937,8,smooth,rough
1938,8,mixed,mixed
1939,8,rough,rough
1940,8,smooth,rough
1941,8,rough,smooth
1942,8,mixed,mixed
1943,8,rough,smooth
1944,8,mixed,smooth
1945,8,mixed,smooth
1946,8,smooth,mixed
1947,8,rough,smooth
1948,8,mixed,mixed
1949,8,rough,water
1950,8,mixed,mixed
1951,8,rough,smooth
1952,8,smooth,smooth
1953,8,mixed,smooth
1954,8,rough,smooth
1955,8,rough,mixed
1956,8,smooth,mixed
1957,8,smooth,smooth
1958,8,mixed,smooth
1959,8,smooth,mixed
1960,8,smooth,rough
1961,8,rough,rough
1962,8,rough,smooth
1963,8,mixed,water
1964,8,mixed,rough
1965,8,smooth,water
1966,8,smooth,water
1967,8,smooth,smooth
1968,8,rough,smooth
1969,8,smooth,smooth
1970,8,smooth,smooth
1971,8,rough,smooth
1972,8,mixed,smooth
1973,8,rough,mixed
1974,8,smooth,smooth
1975,8,smooth,smooth
1976,8,mixed,rough
1977,8,mixed,smooth
1978,8,rough,smooth
1979,8,mixed,water
1980,8,mixed,mixed
1981,8,mixed,mixed
1982,8,mixed,mixed
1983,8,smooth,water
1984,8,rough,rough
1985,8,rough,mixed
1986,8,rough,water
1987,8,smooth,smooth
1988,8,smooth,mixed
1989,8,mixed,mixed
1990,8,smooth,smooth
1991,8,smooth,smooth
1992,8,rough,rough
1993,8,rough,mixed
1994,8,smooth,mixed
1995,8,smooth,smooth
1996,8,smooth,mixed
1997,8,smooth,smooth
1998,8,smooth,smooth
1999,8,rough,water
2000,8,smooth,smooth
2001,8,mixed,water
2002,8,rough,smooth
2003,8,smooth,smooth
2004,8,smooth,smooth
2005,8,rough,rough
2006,8,mixed,smooth
2007,8,rough,rough
2008,8,rough,smooth
2009,8,mixed,smooth
2010,8,smooth,smooth
2011,8,mixed,smooth
2012,8,smooth,mixed
2013,8,smooth,smooth
2014,8,rough,rough
2015,8,mixed,mixed
2016,8,water,smooth
2017,8,smooth,smooth
2018,8,mixed,mixed
2019,8,rough,mixed
2020,8,mixed,smooth
2021,8,mixed,mixed
2022,8,rough,mixed
2023,8,rough,rough
2024,8,rough,mixed
2025,8,smooth,smooth
2026,8,rough,rough
2027,8,rough,smooth
2028,8,rough,smooth
2029,8,smooth,smooth
2030,8,mixed,mixed
2031,8,mixed,smooth
2032,8,smooth,mixed
2033,8,smooth,mixed
2034,8,smooth,smooth
2035,8,rough,smooth
2036,8,smooth,smooth
2037,8,mixed,mixed
2038,8,smooth,smooth
2039,8,rough,rough
2040,8,rough,smooth
2041,8,rough,smooth
2042,8,smooth,mixed
2043,8,rough,rough
2044,8,smooth,smooth
2045,8,mixed,mixed
2046,8,smooth,smooth
2047,8,smooth,mixed
2048,8,mixed,smooth
2049,8,mixed,smooth
2050,8,rough,mixed
2051,8,rough,rough
2052,8,mixed,mixed
2053,8,smooth,mixed
2054,8,rough,smooth
2055,8,mixed,rough
2056,8,rough,smooth
2057,8,smooth,smooth
2058,8,smooth,smooth
2059,8,smooth,smooth
2060,8,smooth,rough
2061,8,smooth,mixed
2062,8,smooth,smooth
2063,8,smooth,mixed
2064,8,rough,smooth
2065,8,rough,water
2066,8,mixed,water
2067,8,rough,rough
2068,8,mixed,mixed
2069,8,smooth,smooth
2070,8,rough,mixed
2071,8,mixed,smooth
2072,8,mixed,mixed
2073,8,rough,rough
2074,8,smooth,mixed
2075,8,rough,rough
2076,8,smooth,mixed
2077,8,smooth,smooth
2078,8,rough,rough
2079,8,rough,smooth
2080,9,smooth,smooth
2081,9,rough,smooth
2082,9,mixed,mixed
2083,9,rough,rough
2084,9,smooth,smooth
2085,9,rough,smooth
2086,9,smooth,mixed
2087,9,rough,smooth
2088,9,rough,rough
2089,9,smooth,rough
2090,9,rough,smooth
2091,9,rough,smooth
2092,9,smooth,smooth
2093,9,mixed,smooth
2094,9,rough,smooth
2095,9,smooth,smooth
2096,9,mixed,smooth
2097,9,rough,rough
2098,9,water,smooth
2099,9,smooth,smooth
2100,9,rough,smooth
2101,9,mixed,mixed
2102,9,rough,rough
2103,9,smooth,mixed
2104,9,smooth,smooth
2105,9,smooth,smooth
2106,9,smooth,mixed
2107,9,rough,mixed
2108,9,rough,mixed
2109,9,smooth,mixed
2110,9,smooth,mixed
2111,9,mixed,mixed
2112,9,rough,rough
2113,9,smooth,mixed
2114,9,rough,smooth
2115,9,smooth,smooth
2116,9,mixed,smooth
2117,9,rough,smooth
2118,9,smooth,rough
2119,9,smooth,smooth
2120,9,rough,mixed
2121,9,mixed,mixed
2122,9,rough,mixed
2123,9,rough,rough
2124,9,rough,smooth
2125,9,smooth,smooth
2126,9,rough,rough
2127,9,rough,smooth
2128,9,smooth,mixed
2129,9,smooth,smooth
2130,9,mixed,smooth
2131,9,rough,smooth
2132,9,smooth,smooth
2133,9,smooth,smooth
2134,9,smooth,mixed
2135,9,smooth,rough
2136,9,mixed,mixed
2137,9,rough,mixed
2138,9,mixed,water
2139,9,mixed,mixed
2140,9,smooth,mixed
2141,9,smooth,smooth
2142,9,rough,rough
2143,9,smooth,smooth
2144,9,mixed,smooth
2145,9,mixed,rough
2146,9,mixed,smooth
2147,9,rough,mixed
2148,9,smooth,mixed
2149,9,smooth,smooth
2150,9,mixed,rough
2151,9,smooth,smooth
2152,9,rough,mixed
2153,9,smooth,smooth
2154,9,smooth,smooth
